ZUSTAND_ART,CONDITION_TYPE
1A,PRIME
1B,SECONDARY
34_NACHBARSCHAFT,NEIGHBORHOOD
35_AUSSENGEBIET,OUTLYING_AREA
ABRISSOBJEKT,DEMOLITION_PROPERTY
ABSOLUT,ABSOLUTE
ACKERBAU,ARABLE_FARMING
ALTBAU,OLD_BUILDING
ANBIETERLOGO,PROVIDER_LOGO
ANBOBJURL,PROPERTY_URL
ANWESEN,ESTATE
APARTMENT,APARTMENT
APARTMENTHAUS,APARTMENT_BUILDING
ATTIKAWOHNUNG,PENTHOUSE_APARTMENT
AUSSENANSICHTEN,EXTERIOR_VIEWS
AUSSIEDLERHOF,SETTLER_S_FARM
AUSSTELLUNGSFLAECHE,EXHIBITION_SPACE
AUTOBAHN,HIGHWAY
B_PLAN,DEVELOPMENT_PLAN
BAR,BAR
BAUERNHAUS,FARMHOUSE
BAUERNHOF,FARM
BAUERWARTUNGSLAND,EXPECTED_BUILDING_LAND
BAUFAELLIG,DILAPIDATED
BAULAND_OHNE_B_PLAN,BUILDABLE_LAND_WITHOUT_DEVELOPMENT_PLAN
BEDARF,DEMAND
BEI_BESICHTIGUNG,ON_INSPECTION
BERGE,MOUNTAINS
BERGHUETTE,MOUNTAIN_HUT
BETREUTES_WOHNEN,ASSISTED_LIVING
BILD,IMAGE
BOOTSLIEGEPLATZ,BOAT_MOORING
BUEROFLAECHE,OFFICE_SPACE
BUEROGEBAEUDE,OFFICE_BUILDING
BUEROHAUS,OFFICE_BUILDING
BUEROZENTRUM,OFFICE_CENTER
BUNGALOW,BUNGALOW
BURG,CASTLE
BUS,BUS
CAFE,CAFE
CARPORT,CARPORT
CHALET,CHALET
CHANGE,CHANGE
COWORKING,COWORKING
DACHGESCHOSS,ATTIC
DATETIME,DATETIME
DELETE,DELETE
DISCOTHEK,NIGHTCLUB
DOKUMENTE,DOCUMENTS
DOPPELGARAGE,DOUBLE_GARAGE
DOPPELHAUSHAELFTE,SEMI_DETACHED_HOUSE
DUPLEX,DUPLEX
EGAL,ANY
EINFAMILIENHAUS,SINGLE_FAMILY_HOUSE
EINKAUFSCENTREN,SHOPPING_CENTERS
EINKAUFSMOEGLICHKEITEN,SHOPPING_FACILITIES
EINKAUFSZENTRUM,SHOPPING_CENTER
EINRAUMLOKAL,ONE_ROOM_ESTABLISHMENT
EINZELGARAGE,SINGLE_GARAGE
EINZELHANDELSLADEN,RETAIL_STORE
EM_DIREKT,DIRECT_MARKETING
EM_PRIVAT,PRIVATE_MARKETING
EM_SONSTIGE,OTHER_MARKETING
EM_ZENTRALE,HQ_MARKETING
ENTKERNT,GUTTED
EPASS_SKALA,ENERGY_PASS_SCALE
ERDGESCHOSS,GROUND_FLOOR
ERSTBEZUG,FIRST_OCCUPANCY
ETAG,ETAG
ETAGE,FLOOR
EXTERN,EXTERNAL
FACTORY_OUTLET,FACTORY_OUTLET
FERIENHAUS,HOLIDAY_HOUSE
FERIENWOHNUNG,HOLIDAY_APARTMENT
FERNBAHNHOF,LONG_DISTANCE_TRAIN_STATION
FERNE,DISTANCE
FERTIGHAUS,PREFABRICATED_HOUSE
FILM,MOVIE
FILMLINK,MOVIE_LINK
FINCA,FINCA
FLUGHAFEN,AIRPORT
FREIFLAECHEN,OPEN_SPACES
FREIPLATZ,OPEN_SPACE
FREIZEIT,LEISURE
FREIZEITANLAGE,LEISURE_FACILITY
GALERIE,GALLERY
GARAGE,GARAGE
GARTENBAU,HORTICULTURE
GAS,GAS
GASTRONOMIE_UND_WOHNUNG,GASTRONOMY_AND_APARTMENT
GASTRONOMIE,GASTRONOMY
GASTSTAETTEN,RESTAURANTS
GEHOBEN,UPSCALE
GEPFLEGT,WELL_MAINTAINED
GESAMTSCHULE,COMPREHENSIVE_SCHOOL
GESCHAEFTSHAUS,BUSINESS_BUILDING
GEWERBE,COMMERCIAL
GEWERBEPARK,BUSINESS_PARK
GRUNDRISS,FLOOR_PLAN
GRUNDSCHULE,ELEMENTARY_SCHOOL
GYMNASIUM,HIGH_SCHOOL
HALLE,HALL
HAUPTSCHULE,MAIN_SCHOOL
HERRENHAUS,MANOR_HOUSE
HOCHREGALLAGER,HIGH_BAY_WAREHOUSE
HOTELS,HOTELS
INDUSTRIE,INDUSTRIAL
INDUSTRIEANLAGEN,INDUSTRIAL_FACILITIES
INDUSTRIEHALLE,INDUSTRIAL_HALL
INNENANSICHTEN,INTERIOR_VIEWS
INTERN,INTERNAL
JAGD_UND_FORSTWIRTSCHAFT,HUNTING_AND_FORESTRY
JAGDREVIER,HUNTING_GROUND
JAHR,YEAR
KARTEN_LAGEPLAN,MAPS_SITE_PLAN
KAUFHAUS,DEPARTMENT_STORE
KEIN_BAULAND,NOT_BUILDABLE_LAND
KEINE_ANGABE,NO_INFORMATION
KINDERGAERTEN,KINDERGARTENS
KIOSK,KIOSK
KRANKENHAUS,HOSPITAL
KUEHLHAUS,COLD_STORAGE
LADENLOKAL,SHOP
LAENDERSPEZIFISCH,COUNTRY_SPECIFIC
LAGER_MIT_FREIFLAECHE,WAREHOUSE_WITH_OPEN_SPACE
LAGER,WAREHOUSE
LAGERFLAECHEN,STORAGE_AREAS
LAND_FORSTWIRSCHAFT,AGRICULTURAL_FORESTRY
LANDHAUS,COUNTRY_HOUSE
LANDWIRTSCHAFTLICHE_BETRIEBE,AGRICULTURAL_ENTERPRISES
LAUBE_DATSCHE_GARTENHAUS,SUMMER_HOUSE
LINKS,LINKS
LOFT_ATELIER,LOFT_ATELIER
LOFT_STUDIO_ATELIER,LOFT_STUDIO_ATELIER
LUXUS,LUXURY
MAISONETTE,MAISONETTE
MD5,MD5
MEER,SEA
MEHRFAMILIENHAUS,MULTI_FAMILY_HOUSE
MISCH_GEMISCHT,MIXED
MODERNISIERT,MODERNIZED
MONAT,MONTH
NACH_VEREINBARUNG,BY_AGREEMENT
NAHERHOLUNG,LOCAL_RECREATION
NEBENZENTRUM,SECONDARY_CENTER
NEUBAU,NEW_CONSTRUCTION
NEUWERTIG,AS_NEW
NEW,NEW
NICHT_NOETIG,NOT_NECESSARY
NICHTWOHN,NON_RESIDENTIAL
NUR_FRAU,FEMALE_ONLY
NUR_MANN,MALE_ONLY
OFFEN,OPEN
OFFLINE,OFFLINE
OHNE,WITHOUT
ONLINE,ONLINE
ORTSLAGE,LOCATION
ORTSUEBLICHERSCHLOSSEN,USUALLY_DEVELOPED
PANORAMA,PANORAMA
PARKHAUS,PARKING_GARAGE
PARKPLATZ_STROM,PARKING_SPACE_WITH_ELECTRICITY
PENSIONEN,GUESTHOUSES
PENTHOUSE,PENTHOUSE
PFLEGEHEIM,NURSING_HOME
PRAXIS,PRACTICE
PRAXISFLAECHE,PRACTICE_AREA
PRAXISHAUS,PRACTICE_HOUSE
PRODUKTION,PRODUCTION
PROJEKTIERT,PLANNED
PROZENT,PERCENT
QRCODE,QRCODE
RAUCHERLOKAL,SMOKING_ESTABLISHMENT
REALSCHULE,INTERMEDIATE_SCHOOL
REFERENZ,REFERENCE
REIHENECK,CORNER_TERRACE
REIHENEND,END_TERRACE
REIHENHAUS,TOWNHOUSE
REIHENMITTEL,MID_TERRACE
REITERHOEFE,EQUESTRIAN_FARMS
REMOTE,REMOTE
RESERVIERT,RESERVED
RESTAURANT,RESTAURANT
RESTHOF,FARMHOUSE
ROHBAU,SHELL_CONSTRUCTION
ROHDACHBODEN,RAW_ATTIC
RUSTICO,RUSTICO
SANATORIUM,SANATORIUM
SANIERUNGSBEDUERFTIG,IN_NEED_OF_RENOVATION
SB_MAERKTE,SELF_SERVICE_MARKETS
SCHEUNEN,BARNS
SCHLOSS,CASTLE
SEE,LAKE
SEELIEGENSCHAFT,LAKESIDE_PROPERTY
SENIORENHEIM,SENIOR_CITIZEN_HOME
SERVICE,SERVICE
SHARED_OFFICE,SHARED_OFFICE
SIEDLUNG,SETTLEMENT
SKIGEBIET,SKI_AREA
SONDERNUTZUNG,SPECIAL_USE
SONSTIGE_LANDWIRTSCHAFTSIMMOBILIEN,OTHER_AGRICULTURAL_PROPERTIES
SONSTIGE,OTHER
SONSTIGES,OTHER
SOUTERRAIN,BASEMENT
SPEDITIONSLAGER,FORWARDING_WAREHOUSE
SPORTANLAGEN,SPORTS_FACILITIES
STADTHAUS,CITY_HOUSE
STADTRAND,OUTSKIRTS
STADTTEIL,DISTRICT
STADTZENTRUM,CITY_CENTER
STANDARD,STANDARD
STELLPLATZ,PARKING_SPACE
STRAND,BEACH
STRANDHAUS,BEACH_HOUSE
STROM,ELECTRICITY
TAG,DAY
TANKSTELLE,GAS_STATION
TEICH_UND_FISCHWIRTSCHAFT,POND_AND_FISHERY
TEIL_SANIERT,PARTIALLY_RENOVATED
TEIL_VOLLRENOVIERT,PARTIALLY_FULLY_RENOVATED
TEIL_VOLLRENOVIERUNGSBED,PARTIAL_FULL_RENOVATION_NEEDED
TEIL_VOLLSANIERT,PARTIALLY_FULLY_REFURBISHED
TEIL,PARTIAL
TEILERSCHLOSSEN,PARTIALLY_DEVELOPED
TEL_DURCHW,DIRECT_LINE
TEL_FAX,FAX
TEL_HANDY,MOBILE_PHONE
TEL_PRIVAT,PRIVATE_PHONE
TEL_SONSTIGE,OTHER_PHONE
TEL_ZENTRALE,HQ_TELEPHONE
TERRASSEN,TERRACES
TEXT,TEXT
TIEFGARAGE,UNDERGROUND_GARAGE
TIEFGARAGENSTELLPLATZ,UNDERGROUND_PARKING_SPACE
TITELBILD,COVER_IMAGE
TK,TELECOMMUNICATION
UNERSCHLOSSEN,UNDEVELOPED
US_BAHN,SUBWAY
VERBRAUCH,CONSUMPTION
VERBRAUCHERMAERKTE,CONSUMER_MARKETS
VERBRAUCHERMARKT,SUPERMARKET
VERGNUEGUNGSPARKS_UND_CENTER,AMUSEMENT_PARKS_AND_CENTERS
VERKAUFSFLAECHE,SALES_AREA
VERKAUFT,SOLD
VIEHWIRTSCHAFT,LIVESTOCK_FARMING
VILLA,VILLA
VOLL_SANIERT,FULLY_RENOVATED
VOLL,FULL
VOLLERSCHLOSSEN,FULLY_DEVELOPED
WANDERGEBIETE,HIKING_AREAS
WASSER,WATER
WEINBAU,VITICULTURE
WEITERE_BEHERBERGUNGSBETRIEBE,OTHER_ACCOMMODATION_FACILITIES
WERKSTATT,WORKSHOP
WOCHE,WEEK
WOHN_UND_GESCHAEFTSHAUS,RESIDENTIAL_AND_COMMERCIAL_BUILDING
WOHN,RESIDENTIAL
WOHNANLAGEN,HOUSING_ESTATES
WOHNEN,LIVING
ZENTRUM,CENTER
ZIMMER,ROOM
ZWEIFAMILIENHAUS,TWO_FAMILY_HOUSE
AKTIONART,ACTION_TYPE
ALTER_ATTR,AGE_ATTRIBUTE
ART,TYPE
AUSSTATT_KATEGORIE,EQUIPMENT_CATEGORY
BEBAUBAR_ATTR,BUILDABLE_ATTRIBUTE
BLICK,VIEW
BUERO_TYP,OFFICE_TYPE
CTYPE,CONTACT_TYPE
DISTANZ_ZU,DISTANCE_TO
DISTANZ_ZU_SPORT,DISTANCE_TO_SPORT
EMAILART,EMAIL_TYPE
EPART,PARTITION
ERSCHL_ATTR,DEVELOPMENT_ATTRIBUTE
FREIZEIT_TYP,LEISURE_TYPE
GASTGEW_TYP,HOSPITALITY_TYPE
GEBIETE,AREAS
GEBAEUDEART,BUILDING_TYPE
GESCHL_ATTR,GENDER_ATTRIBUTE
GRUNDST_TYP,PROPERTY_TYPE
GRUPPE,GROUP
HALLEN_TYP,HALL_TYPE
HANDEL_TYP,TRADE_TYPE
HAUSTYP,HOUSE_TYPE
ISO_LAND,ISO_COUNTRY
ISO_WAEHRUNG,ISO_CURRENCY
JAHRGANG,VINTAGE
KELLER,CELLAR
LAND_TYP,LAND_TYPE
LOCATION,LOCATION
MAX_DAUER,MAX_DURATION
MIN_DAUER,MIN_DURATION
MODUS,MODE
MOEB,FURNISHED
PARKEN_TYP,PARKING_TYPE
PERIODE,PERIOD
PLATZART,PLACE_TYPE
SONSTIGE_TYP,OTHER_TYPE
STAND,CONDITION
TELEFONART,PHONE_TYPE
UMFANG,SCOPE
WERT,VALUE
WOHNUNGTYP,APARTMENT_TYPE
ZIMMERTYP,ROOM_TYPE
ZEITEINHEIT,TIME_UNIT
ZINS_TYP,INTEREST_TYPE
ZUSTAND_ART,CONDITION_TYPE
