zzgMehrwertsteuer,plusVAT
abdatum,fromDate
abstand,distance
abstellraum,storageRoom
adressfreigabe,addressRelease
aktenzeichen,fileNumber
aktion,action
aktivBis,activeTo
aktivVon,activeFrom
alsFerien,asHoliday
alter,age
altlasten,contamination
amtsgericht,districtCourt
anbieter,provider
anbieternr,providerNumber
angeschlGastronomie,attachedGastronomy
anhaenge,attachments
anhang,attachment
anhanginhalt,attachmentContent
anhangtitel,attachmentTitle
anrede,salutation
anredeBrief,letterSalutation
anzahlBadezimmer,numberOfBathrooms
anzahlBalkone,numberOfBalconies
anzahlBetten,numberOfBeds
anzahlEtagen,numberOfFloors
anzahlGewerbeeinheiten,numberOfCommercialUnits
anzahlLogia,numberOfLoggias
anzahlSchlafzimmer,numberOfBedrooms
anzahlSepWc,numberOfSeparateToilets
anzahlStellplaetze,numberOfParkingSpaces
anzahlTagungsraeume,numberOfMeetingRooms
anzahlTerrassen,numberOfTerraces
anzahlWohnSchlafzimmer,numberOfLivingBedrooms
anzahlWohneinheiten,numberOfResidentialUnits
anzahlZimmer,numberOfRooms
ausbaustufe,developmentStage
ausblick,view
ausnuetzungsziffer,floorAreaRatio
ausrichtBalkonTerrasse,balconyTerraceOrientation
aussenCourtage,externalCommission
ausstattBeschr,equipmentDescription
ausstattKategorie,equipmentCategory
ausstattung,equipment
ausstelldatum,issueDate
bad,bathroom
balkonTerrasseFlaeche,balconyTerraceArea
barrierefrei,barrierFree
baujahr,yearOfConstruction
bauweise,constructionMethod
bauzone,constructionZone
bebaubarNach,developableAccordingTo
befeuerung,heating
beginnAngebotsphase,startOfOfferPhase
beginnBietzeit,startOfBiddingTime
beheizbareFlaeche,heatedArea
berufsaufsichtsbehoerde,professionalSupervisoryAuthority
besichtigungstermin,viewingAppointment
besichtigungstermin2,viewingAppointment2
betriebskostennetto,netOperatingCosts
bewertung,evaluation
bgf,grossFloorArea
bibliothek,library
bieterverfahren,biddingProcess
bisdatum,toDate
bmz,floorSpaceIndex
boden,floor
branchen,industries
brauereibindung,breweryTie
breitbandZugang,broadbandAccess
bueroPraxen,officesPractices
bueroflaeche,officeArea
bueroteilflaeche,partialOfficeArea
bundesland,state
check,check
courtageHinweis,commissionNote
dachboden,attic
dachbodenflaeche,atticArea
dachform,roofShape
daten,data
denkmalgeschuetzt,listedBuilding
distanzen,distances
distanzenSport,sportDistances
dreizeiler,threeLines
dvVerkabelung,dataProcessingCabling
dvbt,digitalTerrestrialTV
einliegerwohnung,grannyFlat
einzelhandel,retail
emailDirekt,directEmail
emailFeedback,feedbackEmail
emailPrivat,privateEmail
emailSonstige,otherEmail
emailZentrale,centralEmail
endeBietzeit,endOfBiddingTime
endenergiebedarf,finalEnergyDemand
energiepass,energyCertificate
energietyp,energyType
energieverbrauchkennwert,energyConsumptionValue
epart,energyCertificateType
epasstext,energyCertificateText
erbpacht,leasehold
erschliessung,development
erschliessungUmfang,developmentScope
erschliessungskosten,developmentCosts
etage,floor
evbnetto,netUnitValue
fahrradraum,bicycleRoom
fahrstuhl,elevator
feld,field
fensterfront,windowFront
fensterfrontQm,windowFrontSqm
fgeeklasse,energyEfficiencyClass
fgeewert,energyEfficiencyValue
firma,company
firmenanschrift,companyAddress
firmenname,companyName
flaechebis,areaTo
flaechen,areas
flaechevon,areaFrom
flur,corridor
flurstueck,parcel
format,format
foto,photo
freiflaeche,openSpace
freitextPreis,freeTextPrice
freitexte,freeTexts
freitextfeld,freeTextField
freizeitimmobilieGewerblich,commercialLeisureProperty
gaestewc,guestToilet
gartenflaeche,gardenArea
gartennutzung,gardenUse
gastgewerbe,hospitality
gastroflaeche,gastronomyArea
gastterrasse,guestTerrace
gebaeudeart,buildingType
geg2018,buildingEnergyAct2018
gemarkung,cadastralDistrict
gemeindecode,municipalityCode
geo,geo
geokoordinaten,geoCoordinates
gesamtbelastungbrutto,totalCostGross
gesamtbelastungnetto,totalCostNet
gesamtflaeche,totalArea
gesamtkostenprom2von,totalCostsPerSqmFrom
gesamtmietebrutto,totalRentGross
gesamtmietenetto,totalRentNet
geschaeftsguthaben,businessAssets
geschlecht,gender
gewerblicheNutzung,commercialUse
gfz,floorAreaRatio
grundstueck,plot
grundstuecksflaeche,plotArea
grundstuecksfront,plotFront
gruppenKennung,groupIdentifier
gruppennummer,groupNumber
grz,siteOccupancyIndex
gueltigBis,validUntil
hallenLagerProd,hallsStorageProduction
hallenhoehe,hallHeight
handelsregister,commercialRegister
handelsregisterNr,commercialRegisterNumber
hauptmietzinsnetto,netMainRent
haus,house
hausgeld,maintenanceFee
hausnummer,houseNumber
haustiere,pets
hebebuehne,liftPlatform
heizkosten,heatingCosts
heizkostenEnthalten,heatingCostsIncluded
heizkostennetto,netHeatingCosts
heizungsart,heatingType
hochhaus,highRise
hoechstgebotZeigen,showHighestBid
hwbklasse,heatingDemandClass
hwbwert,heatingDemandValue
immobilie,property
immobilientreuhaenderid,propertyTrusteeId
impressum,imprint
impressumStrukt,imprintStructure
infrastruktur,infrastructure
innenCourtage,internalCommission
jahrgang,year
kabelSatTv,cableSatelliteTV
kabelkanaele,cableChannels
kaltmiete,coldRent
kamin,fireplace
kantineCafeteria,canteenCafeteria
kartenMakro,macroMap
kartenMikro,microMap
kaufpreis,purchasePrice
kaufpreisProQm,purchasePricePerSqm
kaufpreisbrutto,purchasePriceGross
kaufpreisnetto,purchasePriceNet
kaution,deposit
kautionText,depositText
kellerflaeche,basementArea
kennungUrsprung,originIdentifier
klimatisiert,airConditioned
kontaktperson,contactPerson
kran,crane
kubatur,cubature
kueche,kitchen
ladenflaeche,shopArea
lage,location
lageGebiet,areaLocation
lageImBau,locationInBuilding
lagerflaeche,storageArea
land,country
landUndForstwirtschaft,agricultureAndForestry
laufzeit,duration
letztemodernisierung,lastModernization
lizenzkennung,licenseIdentifier
luftbildern,aerialPhotos
master,master
maxMietdauer,maxRentalPeriod
maxPersonen,maxPersons
mieteinnahmenIst,actualRentalIncome
mieteinnahmenSoll,targetRentalIncome
mietpreisProQm,rentPricePerSqm
mietzuschlaege,rentSurcharges
minMietdauer,minRentalPeriod
mindestpreis,minimumPrice
mitwarmwasser,withHotWater
modus,mode
moebliert,furnished
monatlichekostenbrutto,monthlyCostsGross
monatlichekostennetto,monthlyCostsNet
mwstGesamt,totalVAT
mwstSatz,vatRate
name,name
nebenkosten,additionalCosts
nebenkostenprom2von,additionalCostsPerSqmFrom
nettokaltmiete,netColdRent
nettomieteprom2von,netRentPerSqmFrom
nettorendite,netYield
nettorenditeIst,actualNetYield
nettorenditeSoll,targetNetYield
nichtraucher,nonSmoker
nutzflaeche,usableArea
nutzungsart,typeOfUse
objektText,propertyText
objektadresseFreigeben,releasePropertyAddress
objektart,propertyType
objektartZusatz,propertyTypeAdditional
objektbeschreibung,propertyDescription
objektkategorie,propertyCategory
objektnrExtern,externalPropertyNumber
objektnrIntern,internalPropertyNumber
objekttitel,propertyTitle
openimmoAnid,openImmoAnid
openimmoObid,openImmoObjectId
ort,city
pacht,lease
parken,parking
pauschalmiete,flatRent
personennummer,personNumber
pfad,path
plaetzeGastraum,diningRoomSeats
plz,postalCode
position,position
postfOrt,poBoxCity
postfPlz,poBoxPostalCode
postfach,poBox
preisZeiteinheit,priceTimeUnit
preisZeitraumBis,priceTimeRangeTo
preisZeitraumVon,priceTimeRangeFrom
preise,prices
primaerenergietraeger,primaryEnergySource
provisionTeilen,commissionSplit
provisionbrutto,commissionGross
provisionnetto,commissionNet
provisionspflichtig,commissionRequired
raeumeVeraenderbar,roomsModifiable
rampe,ramp
referenzId,referenceId
regionalerZusatz,regionalAddition
richtpreis,guidePrice
richtpreisprom2,guidePricePerSqm
rolladen,shutters
rollstuhlgerecht,wheelchairAccessible
ruecklagenetto,reservesNet
sauna,sauna
seniorengerecht,seniorFriendly
serviceleistungen,services
sicherheitstechnik,securityTechnology
sonstflaeche,otherArea
sonstige,other
sonstigeAngaben,otherInformation
sonstigekostennetto,otherCostsNet
sonstigemietenetto,otherRentNet
sporteinrichtungen,sportsFacilities
sprache,language
standVom,statusFrom
stellplatzart,parkingSpaceType
steuernummer,taxNumber
stpCarport,parkingCarport
stpDuplex,parkingDuplex
stpFreiplatz,parkingOutdoor
stpGarage,parkingGarage
stpParkhaus,parkingMultiStorey
stpSonstige,parkingOther
stpTiefgarage,parkingUnderground
strasse,street
stromanschlusswert,electricityConnectionValue
stromwert,electricityValue
summemietenetto,totalRentNet
swimmingpool,swimmingPool
teekueche,kitchenette
teilbarAb,divisibleFrom
telDurchw,phoneExtension
telFax,faxNumber
telHandy,mobileNumber
telPrivat,privatePhoneNumber
telSonstige,otherPhoneNumber
telZentrale,centralPhoneNumber
telefon,phone
telefonFerienimmobilie,holidayPropertyPhone
titel,title
typ,type
uebertragung,transfer
umsstId,vatId
umtsEmpfang,umtsReception
unterkellert,basement
url,url
userDefinedAnyfield,userDefinedAnyfield
userDefinedExtend,userDefinedExtend
userDefinedSimplefield,userDefinedSimplefield
verfuegbarAb,availableFrom
verkaufsflaeche,salesArea
verkaufstatus,salesStatus
verkehrswert,marketValue
vermarktungsart,marketingType
vermietbareFlaeche,rentableArea
vermietet,rented
versteigerung,auction
versteigerungstermin,auctionDate
vertretungsberechtigter,authorizedRepresentative
verwaltungObjekt,propertyManagement
verwaltungTechn,technicalManagement
verwaltungsflaeche,administrativeArea
virtuelletour,virtualTour
vorname,firstName
waehrung,currency
waermewert,heatValue
warmmiete,warmRent
waschTrockenraum,laundryDryingRoom
wbsSozialwohnung,socialHousing
weitereAdresse,additionalAddress
weiteres,additional
weitergabeGenerell,generalForwarding
weitergabeNegativ,negativeForwarding
weitergabePositiv,positiveForwarding
wellnessbereich,wellnessArea
wert,value
wertklasse,valueClass
wgGeeignet,suitableForSharedFlat
wintergarten,winterGarden
wohnflaeche,livingArea
wohnung,apartment
wohnungsnr,apartmentNumber
xFache,xTimes
zimmer,rooms
zinshausRenditeobjekt,apartmentBuildingInvestmentProperty
zugang,access
zulieferung,supply
zusatzfeld,additionalField
zusatztermin,additionalDate
zustand,condition
zustandAngaben,conditionInformation
zvtermin,forcedSaleDate
zwangsversteigerung,forcedSale
zzgMehrwertsteuer,plusVAT
